x|y|xp|yp
20|30|33,412|29,419
21|31|20,189|31,232
22|32|47,386|32,395
23|33|25,725|33,139
24|34|17,865|34,331
25|35|31,748|36,216
26|36|28,555|36,941
27|37|45,846|36,871
28|38|52,750|36,375
29|39|43,170|37,914
30|40|38,944|39,385
31|41|49,936|41,962
32|42|42,001|41,406
33|43|56,637|42,093
34|44|36,304|47,809
35|45|41,249|49,505
36|46|42,491|42,715
37|47|53,970|49,960
38|48|55,864|53,843
39|49|52,344|52,345
40|50|36,867|50,700
41|51|37,512|56,067
42|52|72,065|55,798
43|53|56,340|48,575
44|54|69,305|54,473
45|55|52,627|50,781
46|56|41,355|62,241
47|57|60,846|54,433
48|58|71,025|47,742
49|59|54,304|41,476
50|60|59,585|71,776
51|61|80,882|71,531
52|62|39,047|59,379
53|63|63,537|68,776
54|64|68,065|58,721
55|65|62,672|61,833
56|66|65,340|92,092
57|67|65,350|86,072
58|68|61,782|50,225
59|69|56,490|70,286
60|70|58,699|71,493
61|71|67,606|67,236
62|72|61,087|83,472
63|73|67,506|73,106
64|74|62,101|105,233
65|75|68,479|57,498
66|76|84,008|99,504
67|77|62,280|70,286
68|78|94,120|52,336
69|79|80,550|51,181
70|80|87,402|96,492
71|81|109,643|101,454
72|82|84,999|77,876
73|83|78,882|93,177
74|84|90,593|98,615
75|85|68,481|85,946
76|86|102,210|68,801
77|87|90,776|79,985
78|88|89,812|104,479
79|89|103,096|66,981
80|90|89,972|32,961
